title,genre,episodes,popularity,ranked,score
Hidamari Sketch x ☆☆☆ Specials,Comedy,2,4073,790,7.86
Haikyuu!! Movie 2: Shousha to Haisha,Comedy,1,2698,789,7.86
Gochuumon wa Usagi Desu ka??: Dear My Sister,Comedy,1,3141,788,7.86
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,Action,4,4041,787,7.86
Gekkan Shoujo Nozaki-kun Specials,Comedy,6,1233,786,7.86
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",Action,12,297,785,7.86
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",Comedy,12,1216,784,7.86
Digimon Adventure,Fantasy,54,356,783,7.86
Byousoku 5 Centimeter,Romance,3,108,781,7.86
Detective Conan OVA 10: Kid in Trap Island,Comedy,1,3969,782,7.86
Bungou Stray Dogs: Dead Apple,Action,1,1448,780,7.86
Asagao to Kase-san.,Romance,1,2426,779,7.86
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,Action,8,2435,778,7.86
Yaoguai Mingdan 2nd Season,Action,21,5659,777,7.87
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,Drama,26,3747,776,7.87
Transformers the Movie,Action,1,4133,775,7.87
Toshokan Sensou: Kakumei no Tsubasa,Action,1,3495,774,7.87
Shokugeki no Souma: Shin no Sara,School,12,683,773,7.87
Paradise Kiss,Drama,12,916,772,7.87
Manga de Wakaru! Fate/Grand Order,Comedy,1,4889,770,7.87
Lucky☆Star: Original na Visual to Animation,Comedy,1,1056,769,7.87
Last Exile,Action,26,810,768,7.87
Koukaku Kidoutai 2: Innocence,Sci-Fi,1,929,767,7.87
Heartcatch Precure!,Action,49,3162,763,7.87
Hidamari Sketch x 365,Comedy,13,2855,764,7.87
Ginga Tetsudou 999,Sci-Fi,113,3080,761,7.87
Gundam Build Fighters,Action,25,1890,762,7.87
Ghost Hunt,Comedy,25,630,760,7.87
Gakuen Babysitters,School,12,1171,759,7.87
Detective Conan Movie 23: The Fist of Blue Sapphire,Action,1,4732,758,7.87
Bleach,Adventure,366,25,757,7.87
Akagami no Shirayuki-hime,Romance,12,289,756,7.87
91 Days,Action,12,281,755,7.87
Wolf's Rain,Adventure,26,425,754,7.88
Tentai Senshi Sunred,Comedy,26,3391,753,7.88
Shingeki no Kyojin OVA,Action,3,480,751,7.88
Maria-sama ga Miteru 4th,School,13,3569,749,7.88
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,Action,8,1648,748,7.88
Kono Subarashii Sekai ni Shukufuku wo!,Comedy,1,600,747,7.88
Karakai Jouzu no Takagi-san,Romance,12,442,746,7.88
Junjou Romantica,Drama,12,647,745,7.88
Fate/Grand Order: Zettai Majuu Sensen Babylonia,Drama,21,1355,744,7.88
Emiya-san Chi no Kyou no Gohan,Comedy,13,1680,743,7.88
Charlotte,Drama,13,66,742,7.88
Capeta,School,52,3511,741,7.88
Break Blade 5: Shisen no Hate,Action,1,1934,740,7.88
Aggressive Retsuko (ONA) 2nd Season,Comedy,10,2645,739,7.88
Yao Shen Ji 3rd Season,Adventure,40,6783,738,7.89
Space☆Dandy,Sci-Fi,13,500,737,7.89
Slayers Try,Adventure,26,2090,736,7.89
Seikai no Senki II,Sci-Fi,10,3331,735,7.89
Mobile Suit Gundam Wing: Endless Waltz Movie,Sci-Fi,1,2014,734,7.89
Kyou kara Maou! 3rd Series,Adventure,39,2804,733,7.89
Kokoro Connect,Drama,13,135,732,7.89
Jungle wa Itsumo Hare nochi Guu Deluxe,Comedy,6,4248,731,7.89
Hybrid Child,Drama,4,1942,730,7.89
Hakuouki Movie 2: Shikon Soukyuu,Action,1,3615,729,7.89
Haikyuu!! Movie 1: Owari to Hajimari,Comedy,1,2479,728,7.89
Gungrave,Drama,26,812,727,7.89
Goku Sayonara Zetsubou Sensei,Comedy,3,1858,726,7.89
Ginga Eiyuu Densetsu Gaiden (1999),Sci-Fi,28,3845,725,7.89
